SampleID	Env	SourceSink	id
Anhui	South_China	Sink	1
Australia	Australia	Sink	2
Belarus	East_Europe	Sink	3
Belgium	West_Europe	Source	NA
Bulgaria	East_Europe	Sink	4
Chongqing	Southwest_China	Sink	5
Congo	Africa	Sink	6
Ethiopia	Africa	Sink	7
Finland	North_Europe	Sink	8
Fujian	South_China	Sink	9
Germany	West_Europe	Source	NA
Guangdong	South_China	Sink	10
Guangxi	South_China	Sink	11
Guizhou	Southwest_China	Sink	12
Hebei	North_China	Sink	13
Heilongjiang	North_China	Sink	14
Henan	North_China	Sink	15
Hubei	South_China	Sink	16
Hunan	South_China	Sink	17
Iran	West_Asia	Sink	18
Italy	West_Europe	Source	NA
Jiangsu	South_China	Sink	19
Jiangxi	South_China	Sink	20
Malaysia	Southeast_Asia	Sink	21
Moldova	East_Europe	Sink	22
Netherlands	West_Europe	Source	NA
Pakistan	South_Asia	Sink	23
Qinghai	West_China	Sink	24
Romania	East_Europe	Sink	25
Russia	East_Europe	Sink	26
Serbia	East_Europe	Sink	27
Shaanxi	North_China	Sink	28
Shandong	North_China	Sink	29
Shanghai	South_China	Sink	30
Shanxi	North_China	Sink	31
Sichuan	Southwest_China	Sink	32
Somalia	Africa	Sink	33
South_Africa	Africa	Sink	34
Sweden	North_Europe	Sink	35
Taiwan	South_China	Sink	36
Tajikistan	Central_Asia	Sink	37
Thailand	Southeast_Asia	Sink	38
Tianjin	North_China	Sink	39
Tunisia	Africa	Sink	40
Turkey	West_Asia	Sink	41
Uganda	Africa	Sink	42
United_Kingdom	West_Europe	Source	NA
United_States	North_America	Sink	43
Vietnam	Southeast_Asia	Sink	44
Zhejiang	South_China	Sink	45
