"Belgium_West_Europe"	"Germany_West_Europe"	"Italy_West_Europe"	"Netherlands_West_Europe"	"United_Kingdom_West_Europe"	"Unknown"
"Anhui_South_China"	0.0588846298151728	0.0311783055626526	1.2014973380852e-07	0.075903380098366	0.726752457769749	0.107281106604326
"Australia_Australia"	0.0851405816717444	0.0218165612614987	0.00798760056208033	0.0346793320581762	0.733667769079375	0.116708155367125
"Belarus_East_Europe"	0.13080590416108	0.0486527819334335	0.108075472189441	0.0151226482164956	0.619455011018351	0.077888182481199
"Bulgaria_East_Europe"	1.55227153545199e-05	0.0387946838587963	0.0191416662940761	0.109340801740981	0.730387730741796	0.102319594648996
"Chongqing_Southwest_China"	0.0409057707891459	0.0418559525949198	0.0431991162409393	1.0185838664304e-05	0.793151799662467	0.0808771748738641
"Congo_Africa"	2.0820439070761e-05	0.060210218900468	0.00912789901418611	0.0880247117017128	0.712696798108299	0.129919551836263
"Ethiopia_Africa"	0.000195644296273451	0.0617233851193992	1.25396292684899e-50	0.0542556231209077	0.761401555783681	0.122423791679738
"Finland_North_Europe"	0.114645051773901	0.0754061621235371	0.220910054674728	0.0213451654232215	0.450596481134311	0.117097084870301
"Fujian_South_China"	0.104954903430671	0.019591683405718	1.548852961229e-07	0.109131091984372	0.586953976547464	0.179368189746479
"Guangdong_South_China"	0.0613564989253182	0.0113332843177815	0.0103376331145321	0.0280959269456977	0.784480455882704	0.104396200813966
"Guangxi_South_China"	2.93090095041922e-05	0.0143426297159411	0.00731650771071678	0.0445483942949176	0.864165555484484	0.0695976037844365
"Guizhou_Southwest_China"	0.000117545668830624	0.0392908416015241	0.0102213786538551	1.50226756454492e-06	0.892129214503615	0.0582395173046102
"Hebei_North_China"	0.0272157682326999	0.0900892199507995	0.00998207912938361	0.0659342138851974	0.66490826729945	0.14187045150247
"Heilongjiang_North_China"	0.0126207306512635	0.013295778737326	0.0307063662943907	0.039688563548573	0.761042006026467	0.14264655474198
"Henan_North_China"	0.0259592248889083	0.0197110214942438	4.9640526234142e-09	0.0530977494064678	0.811894820045632	0.0893371792006957
"Hubei_South_China"	0.0213833579446509	0.0366132102384337	0.0146233693415443	0.0557006450967851	0.683294960194425	0.188384457184161
"Hunan_South_China"	0.0467850456805508	0.0430426984347049	4.99820080249863e-07	0.0585686548168668	0.699151811666978	0.152451289580819
"Iran_West_Asia"	0.114982643530014	0.0254310437452466	0.224556904505514	0.00419589413786618	0.509094864487691	0.121738649593668
