4.2_YBP	4.2_nonoptimal	4.2_nonoptimalStd	4.2_optimal	4.2_optimalStd	4.2_normal	4.2_normalStd
0	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
1	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
2	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
3	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
4	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
5	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
6	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
7	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
8	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
9	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
10	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
11	5.5284310171516085e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
12	5.5284310171516085e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
13	5.516360207070492e-08	1.5801056486502957e-07	3.2671459960874686e-09	3.524597971986334e-08	2.665338860970428e-09	3.1027131094426455e-08
14	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
15	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
16	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
17	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
18	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
19	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
20	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
21	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
22	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
23	5.516360207070491e-08	1.5801056486502957e-07	3.2671459960874686e-09	3.524597971986334e-08	2.665338860970428e-09	3.1027131094426455e-08
24	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
25	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
26	5.552731812831396e-08	1.5846691215118269e-07	3.2886876180396935e-09	3.536098264849039e-08	2.6829125237900136e-09	3.112849297497696e-08
27	5.552731812831396e-08	1.5846691215118269e-07	3.2886876180396935e-09	3.536098264849039e-08	2.6829125237900136e-09	3.112849297497696e-08
28	5.552731812831396e-08	1.5846691215118269e-07	3.2886876180396935e-09	3.536098264849039e-08	2.6829125237900136e-09	3.112849297497696e-08
29	5.528431017151609e-08	1.5816225362247234e-07	3.274295112052649e-09	3.528418927903499e-08	2.671171112307344e-09	3.106080829701684e-08
30	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	2.6770289436939827e-09	3.109459539090131e-08
31	5.540554769382204e-08	1.583143687423752e-07	3.2814755837896067e-09	3.532252336265227e-08	4.5512479753656764e-09	5.054815833078609e-08
32	5.577247185073477e-08	1.587732915988672e-07	3.303207210172319e-09	3.5438279563857964e-08	4.581388690434322e-09	5.071389872977137e-08
33	6.245550635483362e-08	2.045820137646854e-07	3.332634445897685e-09	3.559440622413815e-08	4.622202843578504e-09	5.0937443185585846e-08
34	6.330140486076818e-08	2.0583275351621115e-07	3.377771707015938e-09	3.5832513782420494e-08	4.684806042362862e-09	5.12783722129554e-08
35	6.330140486076817e-08	2.0583275351621115e-07	3.377771707015938e-09	3.5832513782420494e-08	4.684806042362862e-09	5.12783722129554e-08
36	6.315883412909977e-08	2.0562272630807708e-07	3.3701641130812178e-09	3.579249726739282e-08	4.6742546774025865e-09	5.122107518948212e-08
37	6.407303532537114e-08	2.0627240092483775e-07	4.0138283409543104e-09	3.8167345561539474e-08	4.695405151055991e-09	5.133586193048785e-08
38	6.437527596570822e-08	2.0649195677231788e-07	4.078418682073116e-09	3.846978989694685e-08	4.770963394866087e-09	5.174377739393247e-08
39	5.98237086106286e-08	1.9803662597449124e-07	4.125842155120477e-09	3.869027655753891e-08	4.826439713411041e-09	5.204117138506742e-08
40	5.992541947995906e-08	1.9872228570352444e-07	4.224076492147156e-09	3.9142865503116417e-08	4.941354944682733e-09	5.265167255762502e-08
41	5.5561001430881776e-08	1.505587726687472e-07	4.402263341691825e-09	3.9950115384862725e-08	5.149799197932377e-09	5.3740734626455714e-08
42	5.6833203821121976e-08	1.5460960974622932e-07	4.537371168035308e-09	4.0550969677249644e-08	3.954741224254282e-09	4.7670900746473565e-08
43	5.2349966323559384e-08	1.4846558259620158e-07	4.608083445978715e-09	4.086174265471613e-08	4.0163735550218815e-09	4.803834982842845e-08
44	5.5990484702238094e-08	1.6267981393115132e-07	4.730965671204814e-09	4.1395960127351095e-08	4.123476849822465e-09	4.8670110242956254e-08
45	5.617160965057949e-08	1.6305618987092552e-07	4.860581169046042e-09	4.195168831477585e-08	4.236448818310752e-09	4.9327468039450254e-08
46	5.352095160690834e-08	1.6019860749697164e-07	4.983461030061251e-09	4.247145812905198e-08	4.34355005248153e-09	4.994244050990512e-08
47	5.3102332352142706e-08	1.5601655072544208e-07	3.816218201502792e-09	3.520006148781636e-08	4.534615304056963e-09	5.102057019142088e-08
48	5.439542778868168e-08	1.5947519747737106e-07	3.850089960687729e-09	3.535408539754056e-08	4.574863368885871e-09	5.1244696101646596e-08
49	5.4012560498933264e-08	1.59271831147375e-07	3.919669899736302e-09	3.566829661364382e-08	4.657541622540436e-09	5.170195328656699e-08
50	5.2862820494509134e-08	1.5481228746425133e-07	4.144364352587428e-09	3.6663693210082245e-08	4.92453445440581e-09	5.315083940997022e-08
51	4.9012253951770385e-08	1.4658934977094256e-07	7.919368854088427e-09	7.54404302674069e-08	4.956101982959694e-09	5.3319455432747656e-08
52	4.718032468794141e-08	1.447052483583621e-07	8.074650596325454e-09	7.61682215718058e-08	5.053280453213806e-09	5.383509688076937e-08
53	4.7518373197923514e-08	1.4551817461399488e-07	8.375739262629116e-09	7.755905433466097e-08	5.241707859943811e-09	5.48206084213279e-08
54	5.2740407058294047e-08	1.9969618762807735e-07	8.319336978032286e-09	7.730050677882944e-08	5.206410163917254e-09	5.463739724345469e-08
