4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
0	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
1	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
2	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
3	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
4	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
5	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
6	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
7	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
8	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
9	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
10	9.530308088146919e-08	2.2858256051217128e-07	6.136405222130563e-08	1.6696153260728443e-07	1.5666713310277484e-07	3.073479588673774e-07
11	9.509454022308523e-08	2.283757550023643e-07	6.122977639587608e-08	1.6680340794456366e-07	1.5632431661896128e-07	3.0709877315539935e-07
12	9.509454022308523e-08	2.283757550023643e-07	6.122977639587608e-08	1.6680340794456366e-07	1.5632431661896128e-07	3.0709877315539935e-07
13	9.61981778279032e-08	2.2934306652272928e-07	6.109608692776281e-08	1.6664571723887417e-07	1.57294264755666e-07	3.07463307588581e-07
14	9.640867712293145e-08	2.2954965220030034e-07	6.122977639587608e-08	1.6680340794456366e-07	1.576384535188075e-07	3.077113667202888e-07
15	9.640867712293145e-08	2.2954965220030034e-07	6.122977639587608e-08	1.6680340794456366e-07	1.576384535188075e-07	3.077113667202888e-07
16	9.640867712293145e-08	2.2954965220030034e-07	6.122977639587608e-08	1.6680340794456366e-07	1.576384535188075e-07	3.077113667202888e-07
17	9.640867712293145e-08	2.2954965220030034e-07	6.122977639587608e-08	1.6680340794456366e-07	1.576384535188075e-07	3.077113667202888e-07
18	9.640867712293145e-08	2.2954965220030034e-07	6.122977639587608e-08	1.6680340794456366e-07	1.576384535188075e-07	3.077113667202888e-07
19	9.640867712293145e-08	2.2954965220030034e-07	6.122977639587608e-08	1.6680340794456366e-07	1.576384535188075e-07	3.077113667202888e-07
20	9.640867712293145e-08	2.2954965220030034e-07	6.122977639587608e-08	1.6680340794456366e-07	1.576384535188075e-07	3.077113667202888e-07
