4.2_YBP	4.2_nonoptimal	4.2_nonoptimalStd	4.2_optimal	4.2_optimalStd	4.2_normal	4.2_normalStd
0	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
1	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
2	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
3	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
4	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
5	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
6	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
7	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
8	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
9	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
10	6.249829674319868e-08	2.2056188136032237e-07	5.040523217231846e-08	1.7388552307603276e-07	3.359168016214455e-08	1.4768962717279146e-07
11	6.236153898227264e-08	2.2033978797907895e-07	5.0294936259468745e-08	1.737111399781307e-07	3.3518175391549055e-08	1.475363025175485e-07
12	6.236153898227264e-08	2.2033978797907897e-07	5.0294936259468745e-08	1.737111399781307e-07	3.351817539154905e-08	1.4753630251754853e-07
13	6.222537841680916e-08	2.2011835740693746e-07	5.0185121988159864e-08	1.7353727464895553e-07	3.344499160248453e-08	1.4738345252096408e-07
14	6.236153898227264e-08	2.2033978797907897e-07	5.0294936259468745e-08	1.737111399781307e-07	3.351817539154905e-08	1.4753630251754853e-07
15	6.236153898227264e-08	2.2033978797907897e-07	5.0294936259468745e-08	1.737111399781307e-07	3.351817539154905e-08	1.4753630251754853e-07
16	6.236153898227264e-08	2.2033978797907897e-07	5.0294936259468745e-08	1.737111399781307e-07	3.351817539154905e-08	1.4753630251754853e-07
17	6.236153898227264e-08	2.2033978797907897e-07	5.0294936259468745e-08	1.737111399781307e-07	3.351817539154905e-08	1.4753630251754853e-07
18	6.236153898227264e-08	2.2033978797907897e-07	5.0294936259468745e-08	1.737111399781307e-07	3.351817539154905e-08	1.4753630251754853e-07
19	6.236153898227264e-08	2.2033978797907897e-07	5.0294936259468745e-08	1.737111399781307e-07	3.351817539154905e-08	1.4753630251754853e-07
20	6.236153898227264e-08	2.2033978797907897e-07	5.0294936259468745e-08	1.737111399781307e-07	3.351817539154905e-08	1.4753630251754853e-07
21	6.236153898227264e-08	2.2033978797907897e-07	5.0294936259468745e-08	1.737111399781307e-07	3.351817539154905e-08	1.4753630251754853e-07
22	6.236153898227264e-08	2.2033978797907897e-07	5.0294936259468745e-08	1.737111399781307e-07	3.351817539154905e-08	1.4753630251754853e-07
23	6.222537841680916e-08	2.2011835740693746e-07	5.34152038177609e-08	1.859006682971618e-07	3.344499160248452e-08	1.4738345252096408e-07
24	6.249829674319868e-08	2.2056188136032237e-07	5.3649481027487924e-08	1.8627416471555695e-07	3.359168016214455e-08	1.4768962717279146e-07
25	6.236153898227264e-08	2.2033978797907897e-07	5.353208610182602e-08	1.8608713844054008e-07	3.560665916081181e-08	1.5367472408053521e-07
26	6.263565563713978e-08	2.207846408219275e-07	5.376739197480108e-08	1.86461749854073e-07	3.576317194833186e-08	1.5399392738957104e-07
27	6.263565563713978e-08	2.207846408219275e-07	5.376739197480108e-08	1.86461749854073e-07	3.576317194833186e-08	1.5399392738957104e-07
28	6.263565563713978e-08	2.207846408219275e-07	5.376739197480108e-08	1.86461749854073e-07	3.576317194833186e-08	1.5399392738957104e-07
29	6.236153898227264e-08	2.2033978797907897e-07	5.353208610182602e-08	1.8608713844054008e-07	3.560665916081181e-08	1.5367472408053521e-07
30	6.249829674319868e-08	2.2056188136032237e-07	5.3649481027487924e-08	1.8627416471555695e-07	3.568474393967324e-08	1.5383407842846758e-07
31	6.249829674319868e-08	2.2056188136032237e-07	5.95946070083896e-08	2.0634013569156216e-07	4.16843951114181e-08	1.6944429417263238e-07
32	6.291219274812053e-08	2.2123217118285082e-07	6.34268879609426e-08	2.1854855244204945e-07	4.367925804866959e-08	1.7343882513716208e-07
33	6.347265771692338e-08	2.221353713011808e-07	6.199507313011982e-08	2.1590281580540857e-07	4.4068382841976224e-08	1.7416044435929456e-07
34	6.43323325392745e-08	2.235109303637043e-07	6.283473552014402e-08	2.1723859490594434e-07	4.466524581500525e-08	1.7525985453820102e-07
35	6.43323325392745e-08	2.235109303637043e-07	6.283473552014402e-08	2.1723859490594434e-07	4.466524581500525e-08	1.75259854538201e-07
36	6.418743989842026e-08	2.2327991447434555e-07	6.269321584554911e-08	2.1701426170771928e-07	4.4564648414521e-08	1.750751823729996e-07
37	6.447788080293802e-08	2.2374265695884915e-07	6.103201260453707e-08	2.1418680590270143e-07	4.4766298407346894e-08	1.7544510854538767e-07
38	6.081419291051425e-08	2.1368055931076287e-07	6.365310936236914e-08	2.1798133330589395e-07	4.6306161831632e-08	1.773709372268542e-07
39	6.954094480377783e-08	2.6700304558404825e-07	6.08646333461122e-08	2.1397590378932489e-07	4.6844605573860286e-08	1.7832847604002277e-07
40	6.943551792058529e-08	2.679833999376275e-07	6.58361186113941e-08	2.73849993281639e-07	4.795995332561886e-08	1.8029065723843912e-07
41	7.622867736259841e-08	2.82976571221232e-07	6.861332460740823e-08	2.7922531484708815e-07	4.998307790759286e-08	1.837791228305853e-07
42	9.09278518460041e-08	3.3186127831451735e-07	6.993999003041136e-08	2.818863521635728e-07	4.791368149711519e-08	1.8042205989699545e-07
43	9.055768188026102e-08	3.328881493377897e-07	6.540019760012068e-08	2.7290030324199784e-07	4.329870603041747e-08	1.6543078901034428e-07
44	8.938618375353518e-08	3.343462711766642e-07	6.535101804769084e-08	2.745455077732017e-07	4.266015336946222e-08	1.6430522893286343e-07
45	9.084727065068517e-08	3.390171193422408e-07	6.353871113768595e-08	2.7463083628031855e-07	4.382892469465295e-08	1.663869117696685e-07
46	8.591691963778836e-08	3.310911901655475e-07	7.323244183880117e-08	3.05065941626302e-07	4.537644217987358e-08	1.700856558584954e-07
47	8.600404319343507e-08	3.3181998176353297e-07	7.597519003336998e-08	3.133415298682546e-07	4.965812908028513e-08	1.8586161408810654e-07
48	9.454847081129802e-08	3.4709701198724913e-07	6.206000456071472e-08	2.414730085341761e-07	5.009888170525808e-08	1.8662547178074434e-07
