4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
0	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
1	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
2	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
3	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
4	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
5	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
6	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
7	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
8	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
9	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
10	1.831640184674121e-07	3.9364796840260484e-07	1.4649520907766168e-07	3.321893254638919e-07	3.296592275450738e-07	5.738872060220117e-07
11	1.8276322192809608e-07	3.933101775009272e-07	1.4617465063329043e-07	3.3189627888716235e-07	3.2893787256138653e-07	5.734658973957292e-07
12	1.8276322192809613e-07	3.933101775009272e-07	1.4617465063329043e-07	3.3189627888716235e-07	3.2893787256138653e-07	5.734658973957293e-07
13	1.8236417559200854e-07	3.9297316710898466e-07	1.4585549200745356e-07	3.3160394685763955e-07	3.282196675994621e-07	5.730452187124897e-07
