4.2_YBP	4.2_nonoptimal	4.2_nonoptimalStd	4.2_optimal	4.2_optimalStd	4.2_normal	4.2_normalStd
0	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
1	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
2	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
3	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
4	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
5	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
6	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
7	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
8	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
9	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
10	3.48464091541358e-08	3.4313006990667096e-08	1.85417670034521e-08	1.649592400563612e-08	9.8516994168405e-09	1.1089623524482191e-08
11	3.490021143353705e-08	3.429469486691241e-08	1.8501194209133825e-08	1.6500627721299056e-08	9.846398666158278e-09	1.1078062117811802e-08
12	3.490021143353706e-08	3.429469486691241e-08	1.850119420913382e-08	1.6500627721299056e-08	9.846398666158278e-09	1.1078062117811801e-08
13	3.501778628812795e-08	3.43493177941827e-08	1.8460798588589862e-08	1.6505210482375802e-08	9.839805839852619e-09	1.1066859030527051e-08
14	3.5094411641056026e-08	3.4347755326989256e-08	1.850119420913382e-08	1.6500627721299056e-08	9.861337143659736e-09	1.1069373964881456e-08
15	3.5094411641056026e-08	3.4347755326989256e-08	1.850119420913382e-08	1.6500627721299056e-08	9.861337143659736e-09	1.1069373964881456e-08
16	3.5094411641056026e-08	3.4347755326989256e-08	1.850119420913382e-08	1.6500627721299056e-08	9.861337143659736e-09	1.1069373964881456e-08
17	3.5094411641056026e-08	3.4347755326989256e-08	1.850119420913382e-08	1.6500627721299056e-08	9.861337143659736e-09	1.1069373964881456e-08
18	3.5094411641056026e-08	3.4347755326989256e-08	1.850119420913382e-08	1.6500627721299056e-08	9.861337143659736e-09	1.1069373964881456e-08
19	3.5094411641056026e-08	3.4347755326989256e-08	1.850119420913382e-08	1.6500627721299056e-08	9.861337143659736e-09	1.1069373964881456e-08
20	3.5094411641056026e-08	3.4347755326989256e-08	1.850119420913382e-08	1.6500627721299056e-08	9.861337143659736e-09	1.1069373964881456e-08
21	3.5094411641056026e-08	3.4347755326989256e-08	1.850119420913382e-08	1.6500627721299056e-08	9.861337143659736e-09	1.1069373964881456e-08
