4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
0	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
1	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
2	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
3	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
4	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
5	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
6	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
7	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
8	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
9	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
10	1.0126955242780034e-07	8.865551770590695e-08	6.32398755744284e-08	5.3861455317445924e-08	1.645094280022287e-07	1.3918288357426296e-07
11	1.0121052181756582e-07	8.856743822828891e-08	6.324780430882915e-08	5.3802760065859186e-08	1.6445832612639497e-07	1.3903480375739878e-07
12	1.0116446151193633e-07	8.861457565634335e-08	6.324780430882915e-08	5.380276006585918e-08	1.644122658207655e-07	1.390857828344944e-07
13	1.0145037767330256e-07	8.872855565024055e-08	6.331839071657044e-08	5.37651706942287e-08	1.6476876838987298e-07	1.3914272998405023e-07
14	1.0167236974698593e-07	8.869843947932054e-08	6.345694299384959e-08	5.374222590014411e-08	1.651293127408355e-07	1.390810110520213e-07
15	1.0167236974698593e-07	8.869843947932054e-08	6.345694299384959e-08	5.374222590014411e-08	1.651293127408355e-07	1.390810110520213e-07
16	1.0167236974698593e-07	8.869843947932054e-08	6.345694299384959e-08	5.374222590014411e-08	1.651293127408355e-07	1.390810110520213e-07
17	1.0167236974698593e-07	8.869843947932054e-08	6.345694299384959e-08	5.374222590014411e-08	1.651293127408355e-07	1.390810110520213e-07
18	1.0167236974698593e-07	8.869843947932054e-08	6.345694299384959e-08	5.374222590014411e-08	1.651293127408355e-07	1.390810110520213e-07
19	1.0167236974698593e-07	8.869843947932054e-08	6.345694299384959e-08	5.374222590014411e-08	1.651293127408355e-07	1.390810110520213e-07
20	1.0167236974698593e-07	8.869843947932054e-08	6.345694299384959e-08	5.374222590014411e-08	1.651293127408355e-07	1.390810110520213e-07
21	1.0167236974698593e-07	8.869843947932054e-08	6.345694299384959e-08	5.374222590014411e-08	1.651293127408355e-07	1.390810110520213e-07
22	1.0167236974698593e-07	8.869843947932054e-08	6.345694299384959e-08	5.374222590014411e-08	1.651293127408355e-07	1.390810110520213e-07
23	1.029946248457962e-07	9.300126485018823e-08	6.450415193830662e-08	5.816432030526479e-08	1.6749877678410284e-07	1.478751341885244e-07
24	1.0335403302638003e-07	9.304355844129999e-08	6.476398422786862e-08	5.81579260945722e-08	1.6811801725424867e-07	1.4789881087358051e-07
25	1.0355579050233925e-07	9.30415090441277e-08	6.487188586646159e-08	5.813993701967645e-08	1.684276763688008e-07	1.4788481692043677e-07
26	1.0371205213218805e-07	9.32136235240805e-08	6.505027677810106e-08	5.820425397594986e-08	1.6876232891028911e-07	1.4812277550255763e-07
27	1.0371205213218805e-07	9.32136235240805e-08	6.505027677810106e-08	5.820425397594986e-08	1.6876232891028911e-07	1.4812277550255763e-07
28	1.0371205213218805e-07	9.32136235240805e-08	6.505027677810106e-08	5.820425397594986e-08	1.6876232891028911e-07	1.4812277550255763e-07
29	1.035707221398785e-07	9.304662981078355e-08	6.51242052330144e-08	5.818294776304988e-08	1.6869492737289285e-07	1.4781263995228364e-07
30	1.040470855267299e-07	9.289961448684115e-08	6.542495520507445e-08	5.807826480581129e-08	1.6947204073180432e-07	1.4754774441450668e-07
31	1.0639623346431405e-07	9.629255141594466e-08	6.70218508140404e-08	6.075726735810967e-08	1.7341808427835444e-07	1.5365963597427946e-07
32	1.0823501751049605e-07	9.971157538382662e-08	6.822049860423421e-08	6.145058579750615e-08	1.7645551611473024e-07	1.5765230380121323e-07
33	1.088663469852944e-07	9.99257315086983e-08	6.876473089082359e-08	6.148166612495904e-08	1.77631077876118e-07	1.5780490439255668e-07
34	1.0944828050501606e-07	1.0038564994485212e-07	6.908862301431335e-08	6.180994143083016e-08	1.7853690351932945e-07	1.585947135225436e-07
35	1.099403166742339e-07	1.0052751810457299e-07	6.934033768733452e-08	6.215819146276323e-08	1.7928065436156842e-07	1.5909378078090985e-07
36	1.1058308798319426e-07	1.0036588430726003e-07	6.98913487851502e-08	6.234968846286072e-08	1.8047443676834449e-07	1.5902290297959572e-07
37	1.1198535864723763e-07	1.0126279645384385e-07	7.01563679577431e-08	6.229097143564498e-08	1.8214172660498069e-07	1.5971197203826373e-07
38	1.1423231415673502e-07	1.0317607080740497e-07	7.168586178072243e-08	6.53281271972187e-08	1.8591817593745743e-07	1.645100690941135e-07
39	1.157543767658748e-07	1.1091019508945667e-07	7.21983364632918e-08	6.74903807903852e-08	1.8795271322916662e-07	1.7346914724589177e-07
40	1.1620617333568313e-07	1.1204405247674856e-07	7.240526980394487e-08	6.87835723196242e-08	1.8861144313962802e-07	1.7573080326643863e-07
41	1.1839087003417771e-07	1.1387097197399674e-07	7.44447915800652e-08	6.960136206993091e-08	1.9283566161424292e-07	1.781276922616261e-07
42	1.1913099105637805e-07	1.1256988021862267e-07	7.549638088202983e-08	7.111254906894965e-08	1.9462737193840785e-07	1.7828075417063755e-07
43	1.1867961678121732e-07	1.0938250660428878e-07	7.45403621623387e-08	6.742735069276992e-08	1.93219978943556e-07	1.711570889794979e-07
44	1.1961227020274088e-07	1.0954595994178394e-07	7.503600704861138e-08	6.792787499026044e-08	1.9464827725135225e-07	1.7177574716508937e-07
45	1.2045309279718349e-07	1.10493844888081e-07	7.558634358620531e-08	6.976178960811915e-08	1.960394363833888e-07	1.743127605375393e-07
46	1.1832087921232796e-07	1.1057843190713467e-07	7.48534590294947e-08	6.919987107956618e-08	1.9317433824182268e-07	1.738063143802084e-07
47	1.1438877640104212e-07	9.919261948433813e-08	7.289684451248954e-08	6.71512855670625e-08	1.8728562091353165e-07	1.6109351117088408e-07
48	1.164667950303814e-07	1.0083171366146938e-07	7.327150514393573e-08	6.824082165431876e-08	1.8973830017431713e-07	1.6355458232287933e-07
49	1.1591180085832187e-07	1.0239889746276572e-07	7.43909650273871e-08	6.986704574721634e-08	1.90302765885709e-07	1.6576247546414322e-07
50	1.1207319247756395e-07	1.0111929767891156e-07	7.172021222511043e-08	6.83742596265174e-08	1.8379340470267436e-07	1.6289788307747525e-07
51	1.1040819648574744e-07	1.0038751383593613e-07	7.051530385502803e-08	6.758630118060987e-08	1.8092350034077546e-07	1.6159121720697576e-07
52	1.1112961340446293e-07	1.0125325670127635e-07	7.056741894157123e-08	6.765165005533071e-08	1.8169703234603413e-07	1.626310204189938e-07
53	1.1158563893997079e-07	1.012572994386288e-07	6.939056774093424e-08	6.496088661720456e-08	1.8097620668090506e-07	1.5990988299450642e-07
54	1.1059598826153766e-07	1.0071848467976612e-07	6.90386426864798e-08	6.44980286780921e-08	1.7963463094801745e-07	1.5918483816778187e-07
55	1.1258742155848305e-07	1.0087199266758163e-07	7.040356025734825e-08	6.512811572203506e-08	1.8299098181583134e-07	1.598694640812777e-07
56	1.1435303356679221e-07	1.019190646913682e-07	6.991161114918036e-08	6.443648316108834e-08	1.8426464471597257e-07	1.6126275864389923e-07
57	1.1308803146494698e-07	9.93132058361393e-08	6.886146166064228e-08	6.110573268382796e-08	1.8194949312558926e-07	1.5511280826344145e-07
