4.2_YBP	4.2_nonoptimal	4.2_nonoptimalStd	4.2_optimal	4.2_optimalStd	4.2_normal	4.2_normalStd
0	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
1	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
2	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
3	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
4	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
5	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
6	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
7	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
8	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
9	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
10	2.4476645768250255e-08	4.487659888474148e-08	8.411229230027714e-09	2.197992050643375e-08	4.8735058469410604e-09	1.422838595248715e-08
11	2.4541654573092137e-08	4.4848962597879464e-08	8.392823914425902e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
12	2.4541654573092134e-08	4.4848962597879464e-08	8.3928239144259e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
13	2.4596786848941848e-08	4.4815474573627606e-08	8.374498971381304e-09	2.1938888353161625e-08	4.85222416201992e-09	1.4200921886578481e-08
14	2.465060913963975e-08	4.48496913693493e-08	8.3928239144259e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
15	2.465060913963975e-08	4.48496913693493e-08	8.3928239144259e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
16	2.465060913963975e-08	4.48496913693493e-08	8.3928239144259e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
17	2.465060913963975e-08	4.48496913693493e-08	8.3928239144259e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
18	2.465060913963975e-08	4.48496913693493e-08	8.3928239144259e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
19	2.465060913963975e-08	4.48496913693493e-08	8.3928239144259e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
20	2.465060913963975e-08	4.48496913693493e-08	8.3928239144259e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
21	2.465060913963975e-08	4.48496913693493e-08	8.3928239144259e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
22	2.465060913963975e-08	4.48496913693493e-08	8.3928239144259e-09	2.1959376800183428e-08	4.862841720361321e-09	1.4214634486962073e-08
23	2.4999038544521238e-08	4.5415681210155566e-08	8.575624819170997e-09	2.2280766369231433e-08	4.85222416201992e-09	1.4200921886578481e-08
24	2.510868345041826e-08	4.548491488437274e-08	8.613237208728766e-09	2.23223189053611e-08	4.8735058469410604e-09	1.422838595248715e-08
25	2.5053741035865923e-08	4.545026854550959e-08	8.594389862538988e-09	2.2301514781942036e-08	4.862841720361321e-09	1.4214634486962073e-08
26	2.516386737008951e-08	4.551962021678204e-08	8.632167400396303e-09	2.234317897306112e-08	4.884216848802469e-09	1.4242176460982868e-08
27	2.516386737008951e-08	4.551962021678204e-08	8.632167400396303e-09	2.234317897306112e-08	4.884216848802469e-09	1.4242176460982868e-08
28	2.516386737008951e-08	4.551962021678204e-08	8.632167400396303e-09	2.234317897306112e-08	4.884216848802469e-09	1.4242176460982868e-08
29	2.5053741035865923e-08	4.545026854550959e-08	8.594389862538988e-09	2.2301514781942036e-08	4.862841720361321e-09	1.4214634486962073e-08
30	2.5108683450418265e-08	4.548491488437274e-08	8.788896320642727e-09	2.2567664264436737e-08	4.8735058469410604e-09	1.422838595248715e-08
31	2.6050151750928258e-08	4.763989640365715e-08	8.8390223699482e-09	2.3172571487854612e-08	5.028896599788026e-09	1.4557435608300689e-08
32	2.622266931219268e-08	4.775003722799306e-08	8.770467829506797e-09	2.3128593591652064e-08	5.062200550779999e-09	1.4599786876634503e-08
33	2.6207603294625172e-08	4.7889573551158224e-08	8.848601173199506e-09	2.321650297788272e-08	5.107298105798084e-09	1.4656819922711493e-08
34	2.6317928984480197e-08	4.8111593453157135e-08	8.968446787283474e-09	2.3350192475645448e-08	5.054156162352936e-09	1.4560133281701182e-08
35	2.6562559546922576e-08	4.825246296928309e-08	8.849626228382883e-09	2.326143211353533e-08	5.054156162352936e-09	1.4560133281701182e-08
36	2.6646808721941522e-08	4.838333181169947e-08	8.82969463777842e-09	2.323900886756301e-08	5.302107495004396e-09	1.545171799013078e-08
37	2.695889112057212e-08	4.8542565768308776e-08	8.410590619357825e-09	2.1380288185021436e-08	5.534505353098716e-09	1.5793769721757782e-08
38	2.8283962910731183e-08	5.032206157383638e-08	8.827295518478876e-09	2.390095251400379e-08	5.289208325068674e-09	1.5152159156625087e-08
39	2.825580884268666e-08	5.2335828941158283e-08	9.209576140413272e-09	2.5138680180796137e-08	4.911280153355731e-09	1.4686038819137238e-08
40	2.8742047962269873e-08	5.3414947407089056e-08	8.892087705112693e-09	2.4931776441656024e-08	4.918553920950295e-09	1.470601922585964e-08
41	3.0014567047320097e-08	5.5000913949433744e-08	9.15568828398517e-09	2.5325528150475995e-08	5.014536449374235e-09	1.484745264794567e-08
42	3.076898692546897e-08	5.592102283223252e-08	9.051611606800388e-09	2.5444757494475973e-08	5.202585663645304e-09	1.5013290795859094e-08
43	3.174131928418618e-08	5.6609525090889295e-08	8.730845543174716e-09	2.51581179272122e-08	5.278718948686299e-09	1.5103677008387463e-08
44	3.1694511912005145e-08	5.712994390646497e-08	8.517046814446376e-09	2.523547115938069e-08	5.307829468181352e-09	1.5164566575891716e-08
