4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
0	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
1	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
2	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
3	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
4	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
5	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
6	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
7	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
8	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
9	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
10	7.973458934251316e-08	9.130065176893355e-08	3.776138084521903e-08	5.961226192816907e-08	1.1749597018773219e-07	1.302257684867959e-07
11	8.003438822431063e-08	9.142512632548716e-08	3.779732020787936e-08	5.9551950273727253e-08	1.1783170843218999e-07	1.30280629070859e-07
12	8.003438822431063e-08	9.142512632548716e-08	3.779732020787936e-08	5.955195027372725e-08	1.1783170843218998e-07	1.30280629070859e-07
13	8.007707400073029e-08	9.132982149789952e-08	3.782350998234308e-08	5.948953632598271e-08	1.1790058398307335e-07	1.3014665267428591e-07
14	8.025229735740584e-08	9.135275670328898e-08	3.7906274774426974e-08	5.952824221004095e-08	1.1815857213183282e-07	1.301719304582434e-07
15	8.025229735740584e-08	9.135275670328898e-08	3.7906274774426974e-08	5.952824221004095e-08	1.1815857213183282e-07	1.301719304582434e-07
16	8.025229735740584e-08	9.135275670328898e-08	3.7906274774426974e-08	5.952824221004095e-08	1.1815857213183282e-07	1.301719304582434e-07
17	8.025229735740584e-08	9.135275670328898e-08	3.7906274774426974e-08	5.952824221004095e-08	1.1815857213183282e-07	1.301719304582434e-07
18	8.025229735740584e-08	9.135275670328898e-08	3.7906274774426974e-08	5.952824221004095e-08	1.1815857213183282e-07	1.301719304582434e-07
19	8.025229735740584e-08	9.135275670328898e-08	3.7906274774426974e-08	5.952824221004095e-08	1.1815857213183282e-07	1.301719304582434e-07
20	8.025229735740584e-08	9.135275670328898e-08	3.7906274774426974e-08	5.952824221004095e-08	1.1815857213183282e-07	1.301719304582434e-07
21	8.025229735740584e-08	9.135275670328898e-08	3.7906274774426974e-08	5.952824221004095e-08	1.1815857213183282e-07	1.301719304582434e-07
22	8.025229735740584e-08	9.135275670328898e-08	3.7906274774426974e-08	5.952824221004095e-08	1.1815857213183282e-07	1.301719304582434e-07
23	8.168608078304786e-08	9.626305509260093e-08	3.842688752571216e-08	6.049577404545526e-08	1.2011296830876003e-07	1.3657716092821273e-07
24	8.204435306718403e-08	9.632146403682175e-08	3.859542650608809e-08	6.057462611486166e-08	1.2063977957327213e-07	1.3664398743922938e-07
25	8.238499513098949e-08	9.649059916971449e-08	3.8510972618766234e-08	6.053518530206861e-08	1.2089596774975573e-07	1.366039927011235e-07
26	8.243566243574892e-08	9.658521786004545e-08	3.8680251619288284e-08	6.06140960139917e-08	1.2111591405503723e-07	1.3678286386411318e-07
27	8.243566243574892e-08	9.658521786004545e-08	3.8680251619288284e-08	6.06140960139917e-08	1.2111591405503723e-07	1.3678286386411318e-07
28	8.243566243574892e-08	9.658521786004545e-08	3.8680251619288284e-08	6.06140960139917e-08	1.2111591405503723e-07	1.3678286386411318e-07
29	8.241083691920911e-08	9.650806547382073e-08	3.8510972618766234e-08	6.053518530206861e-08	1.2092180953797535e-07	1.3660904585883128e-07
