Run_accession	Sub-lineage	Country_or_Province	SetPart
ERR245692	2.1	Malawi	Africa
SRR16100725	2.1	United_States	North_America
SRR20969515	2.1	Guangdong	South_China
SRR21746995	2.1	Taiwan	South_China
SRR21747001	2.1	Taiwan	South_China
SRR21747020	2.1	Taiwan	South_China
SRR21747054	2.1	Taiwan	South_China
SRR21747057	2.1	Taiwan	South_China
SRR21747059	2.1	Taiwan	South_China
SRR21747063	2.1	Taiwan	South_China
SRR21747071	2.1	Taiwan	South_China
SRR21747072	2.1	Taiwan	South_China
SRR21677266	2.1	United_States	North_America
SRR21709618	2.1	United_States	North_America
SRR5817473	2.1	Australia	Australia
SRR6339664	2.1	Australia	Australia
CRR104094	2.1	Guangxi	South_China
CRR104097	2.1	Guangxi	South_China
CRR104133	2.1	Guangxi	South_China
CRR104150	2.1	Guangxi	South_China
CRR104207	2.1	Guangxi	South_China
CRR104315	2.1	Guangxi	South_China
ERR2517258	2.1	Netherlands	West_Europe
SRR5709748	2.1	Thailand	Southeast_Asia
SRR5709762	2.1	Thailand	Southeast_Asia
SRR5709764	2.1	Thailand	Southeast_Asia
SRR5709798	2.1	Thailand	Southeast_Asia
SRR5709814	2.1	Thailand	Southeast_Asia
SRR5709824	2.1	Thailand	Southeast_Asia
SRR5709872	2.1	Thailand	Southeast_Asia
SRR5709883	2.1	Thailand	Southeast_Asia
SRR5709887	2.1	Thailand	Southeast_Asia
SRR5709897	2.1	Thailand	Southeast_Asia
SRR5709898	2.1	Thailand	Southeast_Asia
SRR5709899	2.1	Thailand	Southeast_Asia
SRR5709925	2.1	Thailand	Southeast_Asia
SRR5709934	2.1	Thailand	Southeast_Asia
SRR5710022	2.1	Thailand	Southeast_Asia
SRR5710027	2.1	Thailand	Southeast_Asia
SRR5837708	2.1	Thailand	Southeast_Asia
ERR2513708	2.1	United_Kingdom	West_Europe
ERR2514124	2.1	United_Kingdom	West_Europe
ERR028607	2.2	Estonia	East_Europe
ERR028609	2.2	Estonia	East_Europe
ERR028619	2.2	Estonia	East_Europe
ERR029209	2.2	Estonia	East_Europe
ERR171161	2.2	Thailand	Southeast_Asia
ERR171162	2.2	Thailand	Southeast_Asia
ERR171163	2.2	Thailand	Southeast_Asia
ERR234245	2.2	Cambodia	Southeast_Asia
ERR234263	2.2	Cambodia	Southeast_Asia
ERR234213	2.2	Indonesia	Southeast_Asia
ERR234247	2.2	Indonesia	Southeast_Asia
ERR245655	2.2	Malawi	Africa
ERR245660	2.2	Malawi	Africa
ERR245663	2.2	Malawi	Africa
ERR245680	2.2	Malawi	Africa
ERR245696	2.2	Malawi	Africa
ERR245710	2.2	Malawi	Africa
ERR245723	2.2	Malawi	Africa
ERR245728	2.2	Malawi	Africa
ERR245735	2.2	Malawi	Africa
ERR245783	2.2	Malawi	Africa
ERR245831	2.2	Malawi	Africa
ERR245834	2.2	Malawi	Africa
ERR245837	2.2	Malawi	Africa
ERR245846	2.2	Malawi	Africa
ERR234215	2.2	Mongolia	Northeast_Asia
ERR227975	2.2	Russia	East_Europe
ERR227976	2.2	Russia	East_Europe
ERR227977	2.2	Russia	East_Europe
ERR227979	2.2	Russia	East_Europe
ERR227980	2.2	Russia	East_Europe
ERR227981	2.2	Russia	East_Europe
ERR227982	2.2	Russia	East_Europe
ERR227983	2.2	Russia	East_Europe
ERR227984	2.2	Russia	East_Europe
ERR227987	2.2	Russia	East_Europe
