Gene	Type	StartPos	EndPos	4.2bNOchina_KLvalue	4.2bNOchina_Hvalue	4.2bNOchina_DFvalue
Rv0001	CDS	1	1524	2.0789733851112047e-07	1.3600995041931176	9.522347588669655e-05
Rv0002	CDS	2052	3260	2.76398679416312e-06	1.3562869800049737	0.00011692272067498344
Rv0003	CDS	3280	4437	6.17899453825288e-10	1.3499742357930007	5.07884173100992e-06
Rv0004	CDS	4434	4997	2.0356416552402834e-09	1.3265441184597133	1.340134095095813e-05
Rv0005	CDS	5240	7267	1.3207862581410268e-09	1.3611305578174617	2.0135316231018052e-07
Rv0006	CDS	7302	9818	1.641559256582159e-06	1.3451497678762667	0.00043721200013591144
Rv0007	CDS	9914	10828	5.150437920153905e-06	1.3184240227527924	-0.0007954738864761057
Rv0008c	CDS	11874	12311	7.118479433687597e-08	1.294350936664886	0.0001213871443671577
Rv0009	CDS	12468	13016	0.0	1.350837181762416	0.0
Rv0010c	CDS	13133	13558	2.267772573305571e-05	1.3504184317740182	0.0008064698643001633
Rv0011c	CDS	13714	13995	5.027887550745902e-10	1.375404075348122	2.154921614483385e-06
Rv0012	CDS	14089	14877	1.4003368785708847e-05	1.3410818791524814	5.5567385290000715e-05
Rv0013	CDS	14914	15612	5.068803154983925e-10	1.3461438050685335	1.5278693745734984e-06
Rv0014c	CDS	15590	17470	1.6189322660231653e-09	1.3446135341172332	5.9161475888247494e-06
Rv0015c	CDS	17467	18762	3.0064711831201407e-10	1.3210599339254046	7.990496967036353e-06
Rv0016c	CDS	18759	20234	5.0842274834650425e-11	1.3409601368310582	-1.95464434527004e-06
Rv0017c	CDS	20231	21640	1.4993145613928505e-10	1.3508584004555477	4.302735545858027e-06
Rv0018c	CDS	21637	23181	5.164857463935135e-08	1.3216379423576683	-8.327492226528621e-05
Rv0019c	CDS	23270	23737	0.0	1.348906680226236	0.0
Rv0020c	CDS	23861	25444	1.4277967697040594e-09	1.3290995648516037	9.921112245347974e-06
Rv0021c	CDS	25913	26881	4.572517398049314e-07	1.3336245767171706	0.00022408299798848397
Rv0022c	CDS	27023	27442	2.499113138654252e-10	1.3139000702164052	5.151875422992891e-06
Rv0023	CDS	27595	28365	7.455658312949254e-10	1.3248053480278201	9.313046182179985e-06
Rv0024	CDS	28362	29207	6.57749965604637e-11	1.311154494496493	3.00557318344552e-06
Rv0025	CDS	29245	29607	0.0	1.3372195907622415	0.0
Rv0026	CDS	29722	31068	5.1472437423427664e-11	1.338216765868062	-3.0300374069258673e-06
Rv0027	CDS	31189	31506	6.579753297764057e-09	1.3453958644051345	1.2465103940761946e-05
Rv0028	CDS	31514	31819	3.2043023789896097e-09	1.3439196251958359	-5.567334802336621e-06
Rv0029	CDS	32057	33154	1.8857673811378817e-08	1.3332133763508698	4.3169322212710526e-05
Rv0030	CDS	33224	33553	4.639962858377089e-10	1.3303123591616137	5.061080586954425e-06
