Gene	Type	StartPos	EndPos	4.2cnONLYchina_KLvalue	4.2cnONLYchina_Hvalue	4.2cnONLYchina_DFvalue
Rv0001	CDS	1	1524	5.3187850790337166e-09	1.360099301614564	5.80374060649147e-06
Rv0002	CDS	2052	3260	2.8630862523582046e-06	1.3562870791044315	0.00012119666866988732
Rv0003	CDS	3280	4437	1.0491272295354293e-09	1.3499742362242284	-1.0280723751754373e-05
Rv0004	CDS	4434	4997	7.722838757384665e-09	1.326544124146911	3.6007910173996294e-05
Rv0005	CDS	5240	7267	5.646274003900942e-10	1.3611305570613037	6.22581413783907e-06
Rv0006	CDS	7302	9818	8.240253354663274e-07	1.3451489503423462	0.0002752953110127243
Rv0007	CDS	9914	10828	5.6030389579686535e-06	1.3184244753538301	-0.000853736690341389
Rv0008c	CDS	11874	12311	6.047262135489007e-10	1.294350866084818	-1.4134651495356643e-06
Rv0009	CDS	12468	13016	5.740442010626623e-10	1.3508371823364596	-3.869579878690299e-06
Rv0010c	CDS	13133	13558	2.2799547287399857e-05	1.350418553595572	0.0007991469576202892
Rv0011c	CDS	13714	13995	1.7922596129427149e-07	1.3754042540712963	8.152821295015489e-05
Rv0012	CDS	14089	14877	1.4130643275322985e-05	1.341082006426971	6.43010933328858e-05
Rv0013	CDS	14914	15612	2.1942546113429273e-09	1.3461438067559073	1.206905228151589e-05
Rv0014c	CDS	15590	17470	2.628454232045385e-09	1.3446135351267539	1.0277641417977268e-05
Rv0015c	CDS	17467	18762	3.992326524926426e-09	1.3210599376170844	2.7617386819001055e-05
Rv0016c	CDS	18759	20234	1.191523946175721e-08	1.3409601486954559	3.618643914032882e-05
Rv0017c	CDS	20231	21640	1.744849542628657e-09	1.3508584020504646	5.623669575793855e-06
Rv0018c	CDS	21637	23181	4.676531162317588e-09	1.3216378953856247	2.060141439197416e-05
Rv0019c	CDS	23270	23737	0.0	1.348906680226237	0.0
Rv0020c	CDS	23861	25444	5.158081184397645e-10	1.3290995639396148	6.737675799339815e-06
Rv0021c	CDS	25913	26881	3.3537487231782848e-09	1.3336241228191794	2.2927956102591907e-05
Rv0022c	CDS	27023	27442	2.9095856279859333e-09	1.3139000728760806	2.281704245471472e-05
Rv0023	CDS	27595	28365	5.107060085940418e-08	1.324805398352854	0.0001084127913310029
Rv0024	CDS	28362	29207	2.4862653047463823e-09	1.3111544969169828	2.023177106413865e-05
Rv0025	CDS	29245	29607	2.327031932486401e-05	1.3372428610815656	0.00025325474215293076
Rv0026	CDS	29722	31068	1.6374891442794137e-09	1.3382167674540781	-1.4799733753512179e-06
Rv0027	CDS	31189	31506	1.5382805029773294e-09	1.3453958593636612	8.17184317664088e-06
Rv0028	CDS	31514	31819	0.0	1.3439196219915357	0.0
Rv0029	CDS	32057	33154	4.109544371466711e-10	1.333213357904151	7.615071766775561e-06
Rv0030	CDS	33224	33553	6.902663607366577e-09	1.3303123656002813	-1.0239647726284495e-05
